Freq.	V(n017)	V(n032)
3.03143313302081e+001	(-2.11101444932561e+002dB,1.09864501865395e+002°)	(-4.57690966925635e+000dB,3.99603076442484e+001°)
3.10228952366748e+001	(-2.10603143437473e+002dB,1.09133518917015e+002°)	(-5.18606285709569e+000dB,3.85069731235482e+001°)
3.17480210393641e+001	(-2.10115920087909e+002dB,1.08405541409941e+002°)	(-5.81736587019859e+000dB,3.70598411434972e+001°)
3.24900958542495e+001	(-2.09640535200293e+002dB,1.07680574015919e+002°)	(-6.47233936126249e+000dB,3.56189232949089e+001°)
3.32495158457116e+001	(-2.09177842661933e+002dB,1.06958608942547e+002°)	(-7.15269113886035e+000dB,3.41842063857630e+001°)
3.40266864380343e+001	(-2.08728804972762e+002dB,1.06239626268453e+002°)	(-7.86034625012198e+000dB,3.27556531180030e+001°)
3.48220225318451e+001	(-2.08294511411021e+002dB,1.05523594310217e+002°)	(-8.59748331129796e+000dB,3.13332028273580e+001°)
3.56359487256137e+001	(-2.07876200143502e+002dB,1.04810470019684e+002°)	(-9.36657872742523e+000dB,2.99167722835166e+001°)
3.64688995423288e+001	(-2.07475285363680e+002dB,1.04100199411015e+002°)	(-1.01704609677732e+001dB,2.85062565493447e+001°)
3.73213196614724e+001	(-2.07093390904518e+002dB,1.03392718017755e+002°)	(-1.10123777906372e+001dB,2.71015298997536e+001°)
3.81936641564168e+001	(-2.06732392282519e+002dB,1.02687951381586e+002°)	(-1.18960803306431e+001dB,2.57024468035411e+001°)
3.90863987373700e+001	(-2.06394469855609e+002dB,1.01985815576363e+002°)	(-1.28259294137148e+001dB,2.43088429754694e+001°)
4.00000000000001e+001	(-2.06082176828565e+002dB,1.01286217773982e+002°)	(-1.38070315671579e+001dB,2.29205365116734e+001°)
4.09349556798711e+001	(-2.05798527389632e+002dB,1.00589056863035e+002°)	(-1.48454152921448e+001dB,2.15373291303621e+001°)
4.18917649128252e+001	(-2.05547112593794e+002dB,9.98942241381503e+001°)	(-1.59482628295295e+001dB,2.01590075536264e+001°)
4.28709385014519e+001	(-2.05332255195704e+002dB,9.92016040890618e+001°)	(-1.71242198250033e+001dB,1.87853450884650e+001°)
4.38729991877852e+001	(-2.05159220294559e+002dB,9.85110753369488e+001°)	(-1.83838166181766e+001dB,1.74161035021623e+001°)
4.48984819323751e+001	(-2.05034507835636e+002dB,9.78225117974287e+001°)	(-1.97400532450134e+001dB,1.60510353507993e+001°)
4.59479341998816e+001	(-2.04966268396008e+002dB,9.71357842063832e+001°)	(-2.12092310086486e+001dB,1.46898870332843e+001°)
4.70219162513445e+001	(-2.04964910413043e+002dB,9.64507622506210e+001°)	(-2.28121669358066e+001dB,1.33324030549465e+001°)
4.81210014432849e+001	(-2.05044015477578e+002dB,9.57673177524079e+001°)	(-2.45760243626162e+001dB,1.19783323987774e+001°)
4.92457765337969e+001	(-2.05221770657246e+002dB,9.50853297856559e+001°)	(-2.65371775807400e+001dB,1.06274387599333e+001°)
5.03968419957951e+001	(-2.05523313506910e+002dB,9.44046935518926e+001°)	(-2.87459018577697e+001dB,9.27951829975240e+000°)
5.15748123375834e+001	(-2.05984790999661e+002dB,9.37253371314938e+001°)	(-3.12744912987658e+001dB,7.93443315029821e+000°)
5.27803164309160e+001	(-2.06660897153545e+002dB,9.30472563280533e+001°)	(-3.42323340992971e+001dB,6.59218110517987e+000°)
5.40139978467278e+001	(-2.07640222084172e+002dB,9.23705964198232e+001°)	(-3.77966106502679e+001dB,5.25305912454153e+000°)
5.52765151987113e+001	(-2.09080733335734e+002dB,9.16958775131962e+001°)	(-4.22832561995895e+001dB,3.91811404418736e+000°)
5.65685424949241e+001	(-2.11308770698902e+002dB,9.10247830703758e+001°)	(-4.83449504876393e+001dB,2.59071963314629e+000°)
5.78907694976154e+001	(-2.15199094768962e+002dB,9.03643358934000e+001°)	(-5.77312148632177e+001dB,1.28492856402264e+000°)
5.92439020914628e+001	(-2.25342973556789e+002dB,8.97943658089760e+001°)	(-7.96245855052159e+001dB,1.60407785064655e-001°)
6.06286626604162e+001	(-2.20867207094069e+002dB,-9.11350430738768e+001°)	(-7.22786626327848e+001dB,-1.68266696204402e+000°)
6.20457904733497e+001	(-2.11582081056444e+002dB,-9.17523984902612e+001°)	(-5.53140177513808e+001dB,-2.90130339242963e+000°)
6.34960420787283e+001	(-2.06570033365461e+002dB,-9.24179044048286e+001°)	(-4.68955268564354e+001dB,-4.21590144613116e+000°)
6.49801917084991e+001	(-2.02943271712730e+002dB,-9.30922055242962e+001°)	(-4.12476054814575e+001dB,-5.54774231024648e+000°)
6.64990316914233e+001	(-2.00011936759340e+002dB,-9.37702967684289e+001°)	(-3.69905350966640e+001dB,-6.88680735786959e+000°)
6.80533728760688e+001	(-1.97499961038343e+002dB,-9.44508749036511e+001°)	(-3.35721809137649e+001dB,-8.23048141213476e+000°)
6.96440450636903e+001	(-1.95268691164129e+002dB,-9.51335343165993e+001°)	(-3.07152363045381e+001dB,-9.57794428999467e+000°)
7.12718974512275e+001	(-1.93238545491466e+002dB,-9.58181750649327e+001°)	(-2.82605381187342e+001dB,-1.09289869003534e+001°)
7.29377990846577e+001	(-1.91359597776339e+002dB,-9.65048233857113e+001°)	(-2.61082340056053e+001dB,-1.22836522571802e+001°)
7.46426393229450e+001	(-1.89598460844960e+002dB,-9.71935640405425e+001°)	(-2.41915497517709e+001dB,-1.36421001659991e+001°)
7.63873283128337e+001	(-1.87931705404263e+002dB,-9.78845106711931e+001°)	(-2.24636269020520e+001dB,-1.50045479311502e+001°)
7.81727974747401e+001	(-1.86342258400221e+002dB,-9.85777912358841e+001°)	(-2.08903194759655e+001dB,-1.63712412242564e+001°)
8.00000000000004e+001	(-1.84817295748775e+002dB,-9.92735401504493e+001°)	(-1.94459794294378e+001dB,-1.77424383622613e+001°)
8.18699113597424e+001	(-1.83346942071415e+002dB,-9.99718936842419e+001°)	(-1.81108561258186e+001dB,-1.91184010948060e+001°)
8.37835298256506e+001	(-1.81923432807237e+002dB,-1.00672987050935e+002°)	(-1.68694205598567e+001dB,-2.04993887812411e+001°)
8.57418770029039e+001	(-1.80540554422311e+002dB,-1.01376952434467e+002°)	(-1.57092457762934e+001dB,-2.18856544377852e+001°)
8.77459983755706e+001	(-1.79193258809668e+002dB,-1.02083917556905e+002°)	(-1.46202356696785e+001dB,-2.32774418683596e+001°)
8.97969638647503e+001	(-1.77877390622988e+002dB,-1.02794004574200e+002°)	(-1.35940796516060e+001dB,-2.46749834510787e+001°)
9.18958683997633e+001	(-1.76589490033300e+002dB,-1.03507329178435e+002°)	(-1.26238581639589e+001dB,-2.60784983375897e+001°)
9.40438325026892e+001	(-1.75326647173711e+002dB,-1.04223999835341e+002°)	(-1.17037515682104e+001dB,-2.74881909228081e+001°)
9.62420028865699e+001	(-1.74086392818163e+002dB,-1.04944117114186e+002°)	(-1.08288215027725e+001dB,-2.89042494992770e+001°)
9.84915530675939e+001	(-1.72866614975428e+002dB,-1.05667773083757e+002°)	(-9.99484407083553e+000dB,-3.03268450436019e+001°)
1.00793683991590e+002	(-1.71665494352714e+002dB,-1.06395050758243e+002°)	(-9.19818076739437e+000dB,-3.17561301025502e+001°)
1.03149624675167e+002	(-1.70481453781026e+002dB,-1.07126023583089e+002°)	(-8.43567732981768e+000dB,-3.31922377590022e+001°)
1.05560632861832e+002	(-1.69313118121683e+002dB,-1.07860754954977e+002°)	(-7.70458355069853e+000dB,-3.46352806660470e+001°)
1.08027995693456e+002	(-1.68159282145086e+002dB,-1.08599297772767e+002°)	(-7.00248903521589e+000dB,-3.60853501428844e+001°)
1.10553030397423e+002	(-1.67018884546410e+002dB,-1.09341694018034e+002°)	(-6.32727123235137e+000dB,-3.75425153298324e+001°)
1.13137084989848e+002	(-1.65890986737428e+002dB,-1.10087974365118e+002°)	(-5.67705301835301e+000dB,-3.90068224022705e+001°)
1.15781538995231e+002	(-1.64774755392957e+002dB,-1.10838157821504e+002°)	(-5.05016778945885e+000dB,-4.04782938451298e+001°)
1.18487804182926e+002	(-1.63669447976401e+002dB,-1.11592251399956e+002°)	(-4.44513051281009e+000dB,-4.19569277908220e+001°)
1.21257325320833e+002	(-1.62574400649399e+002dB,-1.12350249824321e+002°)	(-3.86061354558022e+000dB,-4.34426974244076e+001°)
1.24091580946700e+002	(-1.61489018104671e+002dB,-1.13112135271224e+002°)	(-3.29542630051253e+000dB,-4.49355504604440e+001°)
1.26992084157457e+002	(-1.60412764961822e+002dB,-1.13877877150080e+002°)	(-2.74849803737333e+000dB,-4.64354086963859e+001°)
1.29960383416999e+002	(-1.59345158442180e+002dB,-1.14647431924000e+002°)	(-2.21886321248294e+000dB,-4.79421676476604e+001°)
1.32998063382847e+002	(-1.58285762097167e+002dB,-1.15420742974197e+002°)	(-1.70564893533171e+000dB,-4.94556962696469e+001°)
1.36106745752138e+002	(-1.57234180409822e+002dB,-1.16197740510510e+002°)	(-1.20806417151391e+000dB,-5.09758367717589e+001°)
1.39288090127381e+002	(-1.56190054124218e+002dB,-1.16978341530553e+002°)	(-7.25390401455626e-001dB,-5.25024045286758e+001°)
1.42543794902455e+002	(-1.55153056185057e+002dB,-1.17762449829910e+002°)	(-2.56973499524293e-001dB,-5.40351880934985e+001°)
1.45875598169316e+002	(-1.54122888191513e+002dB,-1.18549956065552e+002°)	(1.97783358339842e-001dB,-5.55739493172252e+001°)
1.49285278645890e+002	(-1.53099277286732e+002dB,-1.19340737874462e+002°)	(6.39425915674984e-001dB,-5.71184235784536e+001°)
1.52774656625668e+002	(-1.52081973418240e+002dB,-1.20134660049123e+002°)	(1.06845431468616e+000dB,-5.86683201266327e+001°)
1.56345594949481e+002	(-1.51070746915732e+002dB,-1.20931574771200e+002°)	(1.48532794066716e+000dB,-6.02233225414981e+001°)
1.60000000000001e+002	(-1.50065386341732e+002dB,-1.21731321904368e+002°)	(1.89046972064191e+000dB,-6.17830893105587e+001°)
1.63739822719485e+002	(-1.49065696578016e+002dB,-1.22533729346788e+002°)	(2.28426995045822e+000dB,-6.33472545256468e+001°)
1.67567059651302e+002	(-1.48071497116713e+002dB,-1.23338613443311e+002°)	(2.66708971249800e+000dB,-6.49154286986246e+001°)
1.71483754005808e+002	(-1.47082620529961e+002dB,-1.24145779456954e+002°)	(3.03926393624387e+000dB,-6.64871996953559e+001°)
1.75491996751141e+002	(-1.46098911096097e+002dB,-1.24955022098726e+002°)	(3.40110414575523e+000dB,-6.80621337860267e+001°)
1.79593927729501e+002	(-1.45120223563742e+002dB,-1.25766126114309e+002°)	(3.75290093132447e+000dB,-6.96397768088360e+001°)
1.83791736799527e+002	(-1.44146422037967e+002dB,-1.26578866925599e+002°)	(4.09492617695018e+000dB,-7.12196554430032e+001°)
1.88087665005379e+002	(-1.43177378975055e+002dB,-1.27393011324536e+002°)	(4.42743507057202e+000dB,-7.28012785859590e+001°)
1.92484005773140e+002	(-1.42212974274373e+002dB,-1.28208318216159e+002°)	(4.75066792009481e+000dB,-7.43841388285306e+001°)
1.96983106135188e+002	(-1.41253094457446e+002dB,-1.29024539407279e+002°)	(5.06485179495577e+000dB,-7.59677140209025e+001°)
2.01587367983181e+002	(-1.40297631925752e+002dB,-1.29841420436694e+002°)	(5.37020201024900e+000dB,-7.75514689211625e+001°)
2.06299249350334e+002	(-1.39346484289863e+002dB,-1.30658701442407e+002°)	(5.66692346812773e+000dB,-7.91348569173399e+001°)
2.11121265723665e+002	(-1.38399553763547e+002dB,-1.31476118060905e+002°)	(5.95521186928515e+000dB,-8.07173218130215e+001°)
2.16055991386912e+002	(-1.37456746617221e+002dB,-1.32293402353195e+002°)	(6.23525480570813e+000dB,-8.22982996659165e+001°)
2.21106060794846e+002	(-1.36517972685845e+002dB,-1.33110283751983e+002°)	(6.50723274455582e+000dB,-8.38772206681368e+001°)
2.26274169979697e+002	(-1.35583144926881e+002dB,-1.33926490024158e+002°)	(6.77131991189445e+000dB,-8.54535110564826e+001°)
2.31563077990462e+002	(-1.34652179024426e+002dB,-1.34741748242558e+002°)	(7.02768508408570e+000dB,-8.70265950406823e+001°)
2.36975608365852e+002	(-1.33724993036016e+002dB,-1.35555785760896e+002°)	(7.27649229384884e+000dB,-8.85958967373349e+001°)
2.42514650641666e+002	(-1.32801507078908e+002dB,-1.36368331185700e+002°)	(7.51790145737101e+000dB,-9.01608420972504e+001°)
2.48183161893400e+002	(-1.31881643052920e+002dB,-1.37179115339163e+002°)	(7.75206892830291e+000dB,-9.17208608139789e+001°)
2.53984168314914e+002	(-1.30965324397149e+002dB,-1.37987872206917e+002°)	(7.97914798403185e+000dB,-9.32753882015550e+001°)
2.59920766833998e+002	(-1.30052475878052e+002dB,-1.38794339864947e+002°)	(8.19928924925082e+000dB,-9.48238670298703e+001°)
2.65996126765694e+002	(-1.29143023406530e+002dB,-1.39598261380082e+002°)	(8.41264106153208e+000dB,-9.63657493065966e+001°)
2.72213491504276e+002	(-1.28236893881807e+002dB,-1.40399385678874e+002°)	(8.61934978334875e+000dB,-9.79004979952251e+001°)
2.78576180254762e+002	(-1.27334015059993e+002dB,-1.41197468379989e+002°)	(8.81956006476328e+000dB,-9.94275886595364e+001°)
2.85087589804911e+002	(-1.26434315445317e+002dB,-1.41992272585711e+002°)	(9.01341506080390e+000dB,-1.00946511025669e+002°)
2.91751196338632e+002	(-1.25537724202114e+002dB,-1.42783569628598e+002°)	(9.20105660737546e+000dB,-1.02456770453888e+002°)
2.98570557291781e+002	(-1.24644171085717e+002dB,-1.43571139769825e+002°)	(9.38262535939041e+000dB,-1.03957889313145e+002°)
3.05549313251336e+002	(-1.23753586390499e+002dB,-1.44354772846302e+002°)	(9.55826089465554e+000dB,-1.05449408252606e+002°)
3.12691189898962e+002	(-1.22865900913355e+002dB,-1.45134268864167e+002°)	(9.72810178690591e+000dB,-1.06930887365350e+002°)
3.20000000000003e+002	(-1.21981045931015e+002dB,-1.45909438536816e+002°)	(9.89228565123539e+000dB,-1.08401907240602e+002°)
3.27479645438971e+002	(-1.21098953189616e+002dB,-1.46680103766192e+002°)	(1.00509491650317e+001dB,-1.09862069901914e+002°)
3.35134119302604e+002	(-1.20219554905077e+002dB,-1.47446098066567e+002°)	(1.02042280673802e+001dB,-1.11310999629813e+002°)
3.42967508011617e+002	(-1.19342783772836e+002dB,-1.48207266930600e+002°)	(1.03522571397557e+001dB,-1.12748343668475e+002°)
3.50983993502284e+002	(-1.18468572985641e+002dB,-1.48963468137950e+002°)	(1.04951701706701e+001dB,-1.14173772816974e+002°)
3.59187855459003e+002	(-1.17596856258126e+002dB,-1.49714572007190e+002°)	(1.06330999067933e+001dB,-1.15586981906625e+002°)
3.67583473599055e+002	(-1.16727567856984e+002dB,-1.50460461592201e+002°)	(1.07661779929072e+001dB,-1.16987690166784e+002°)
3.76175330010759e+002	(-1.15860642635654e+002dB,-1.51201032824651e+002°)	(1.08945349028937e+001dB,-1.18375641482307e+002°)
3.84968011546281e+002	(-1.14996016072479e+002dB,-1.51936194604499e+002°)	(1.10182998637989e+001dB,-1.19750604546542e+002°)
3.93966212270377e+002	(-1.14133624311415e+002dB,-1.52665868840792e+002°)	(1.11376007748526e+001dB,-1.21112372914407e+002°)
4.03174735966364e+002	(-1.13273404204417e+002dB,-1.53389990445294e+002°)	(1.12525641231615e+001dB,-1.22460764960623e+002°)
4.12598498700670e+002	(-1.12415293354727e+002dB,-1.54108507281725e+002°)	(1.13633148976352e+001dB,-1.23795623748631e+002°)
4.22242531447331e+002	(-1.11559230160360e+002dB,-1.54821380073548e+002°)	(1.14699765025459e+001dB,-1.25116816816092e+002°)
4.32111982773825e+002	(-1.10705153857172e+002dB,-1.55528582273411e+002°)	(1.15726706719700e+001dB,-1.26424235883147e+002°)
4.42212121589693e+002	(-1.09853004560946e+002dB,-1.56230099897420e+002°)	(1.16715173862094e+001dB,-1.27717796489800e+002°)
4.52548339959395e+002	(-1.09002723308033e+002dB,-1.56925931327516e+002°)	(1.17666347911470e+001dB,-1.28997437568922e+002°)
4.63126155980926e+002	(-1.08154252094123e+002dB,-1.57616087085199e+002°)	(1.18581391213543e+001dB,-1.30263120961390e+002°)
4.73951216731706e+002	(-1.07307533910821e+002dB,-1.58300589579889e+002°)	(1.19461446276383e+001dB,-1.31514830879881e+002°)
4.85029301283333e+002	(-1.06462512779723e+002dB,-1.58979472835128e+002°)	(1.20307635095913e+001dB,-1.32752573327727e+002°)
4.96366323786800e+002	(-1.05619133783787e+002dB,-1.59652782195763e+002°)	(1.21121058535951e+001dB,-1.33976375479111e+002°)
5.07968336629829e+002	(-1.04777343095814e+002dB,-1.60320574019196e+002°)	(1.21902795766244e+001dB,-1.35186285026693e+002°)
5.19841533667996e+002	(-1.03937088003918e+002dB,-1.60982915353601e+002°)	(1.22653903760947e+001dB,-1.36382369502523e+002°)
5.31992253531390e+002	(-1.03098316933906e+002dB,-1.61639883605957e+002°)	(1.23375416859148e+001dB,-1.37564715577834e+002°)
5.44426983008554e+002	(-1.02260979468533e+002dB,-1.62291566202528e+002°)	(1.24068346388227e+001dB,-1.38733428347019e+002°)
5.57152360509526e+002	(-1.01425026363618e+002dB,-1.62938060244332e+002°)	(1.24733680350112e+001dB,-1.39888630600785e+002°)
5.70175179609824e+002	(-1.00590409561059e+002dB,-1.63579472159912e+002°)	(1.25372383169894e+001dB,-1.41030462093146e+002°)
5.83502392677265e+002	(-9.97570821988024e+001dB,-1.64215917357609e+002°)	(1.25985395505669e+001dB,-1.42159078806581e+002°)
5.97141114583564e+002	(-9.89249986178318e+001dB,-1.64847519879335e+002°)	(1.26573634118060e+001dB,-1.43274652219332e+002°)
6.11098626502674e+002	(-9.80941143662978e+001dB,-1.65474412057679e+002°)	(1.27137991797406e+001dB,-1.44377368578489e+002°)
6.25382379797925e+002	(-9.72643862008878e+001dB,-1.66096734178010e+002°)	(1.27679337346325e+001dB,-1.45467428182163e+002°)
6.40000000000007e+002	(-9.64357720855727e+001dB,-1.66714634147075e+002°)	(1.28198515615056e+001dB,-1.46545044673687e+002°)
6.54959290877944e+002	(-9.56082311878708e+001dB,-1.67328267169427e+002°)	(1.28696347586779e+001dB,-1.47610444350511e+002°)
6.70268238605209e+002	(-9.47817238727767e+001dB,-1.67937795432861e+002°)	(1.29173630509959e+001dB,-1.48663865490099e+002°)
6.85935016023236e+002	(-9.39562116945097e+001dB,-1.68543387803880e+002°)	(1.29631138074643e+001dB,-1.49705557694848e+002°)
7.01967987004569e+002	(-9.31316573862408e+001dB,-1.69145219534093e+002°)	(1.30069620629565e+001dB,-1.50735781257786e+002°)
7.18375710918007e+002	(-9.23080248479552e+001dB,-1.69743471978276e+002°)	(1.30489805436888e+001dB,-1.51754806550504e+002°)
7.35166947198111e+002	(-9.14852791326131e+001dB,-1.70338332324743e+002°)	(1.30892396961424e+001dB,-1.52762913434549e+002°)
7.52350660021519e+002	(-9.06633864307646e+001dB,-1.70929993338526e+002°)	(1.31278077191174e+001dB,-1.53760390697274e+002°)
7.69936023092564e+002	(-8.98423140537744e+001dB,-1.71518653117775e+002°)	(1.31647505986135e+001dB,-1.54747535512897e+002°)
7.87932424540756e+002	(-8.90220304158075e+001dB,-1.72104514863674e+002°)	(1.32001321452344e+001dB,-1.55724652929363e+002°)
8.06349471932729e+002	(-8.82025050147230e+001dB,-1.72687786664097e+002°)	(1.32340140338271e+001dB,-1.56692055381397e+002°)
8.25196997401341e+002	(-8.73837084120174e+001dB,-1.73268681291139e+002°)	(1.32664558450752e+001dB,-1.57650062229967e+002°)
8.44485062894663e+002	(-8.65656122119511e+001dB,-1.73847416012574e+002°)	(1.32975151087786e+001dB,-1.58598999328272e+002°)
8.64223965547652e+002	(-8.57481890399884e+001dB,-1.74424212417250e+002°)	(1.33272473485661e+001dB,-1.59539198614181e+002°)
8.84424243179388e+002	(-8.49314125206729e+001dB,-1.74999296254353e+002°)	(1.33557061277973e+001dB,-1.60470997728976e+002°)
9.05096679918792e+002	(-8.41152572550522e+001dB,-1.75572897286439e+002°)	(1.33829430964295e+001dB,-1.61394739662154e+002°)
9.26252311961854e+002	(-8.32996987977609e+001dB,-1.76145249156070e+002°)	(1.34090080386331e+001dB,-1.62310772421915e+002°)
9.47902433463413e+002	(-8.24847136338629e+001dB,-1.76716589265885e+002°)	(1.34339489209611e+001dB,-1.63219448730943e+002°)
9.70058602566667e+002	(-8.16702791555456e+001dB,-1.77287158671876e+002°)	(1.34578119408835e+001dB,-1.64121125746982e+002°)
9.92732647573603e+002	(-8.08563736387549e+001dB,-1.77857201989622e+002°)	(1.34806415755193e+001dB,-1.65016164807690e+002°)
1.01593667325966e+003	(-8.00429762198489e+001dB,-1.78426967313242e+002°)	(1.35024806304074e+001dB,-1.65904931199181e+002°)
1.03968306733600e+003	(-7.92300668723454e+001dB,-1.78996706146765e+002°)	(1.35233702881736e+001dB,-1.66787793947676e+002°)
1.06398450706278e+003	(-7.84176263838300e+001dB,-1.79566673347651e+002°)	(1.35433501569615e+001dB,-1.67665125633612e+002°)
1.08885396601711e+003	(-7.76056363330848e+001dB,1.79862872917844e+002°)	(1.35624583185096e+001dB,-1.68537302227587e+002°)
1.11430472101905e+003	(-7.67940790674944e+001dB,1.79291671207741e+002°)	(1.35807313757679e+001dB,-1.69404702947484e+002°)
1.14035035921965e+003	(-7.59829376807776e+001dB,1.78719456826153e+002°)	(1.35982044999571e+001dB,-1.70267710136120e+002°)
