Freq.	V(n004)
4.41385352675785e+003	(1.62175234180755e+000dB,1.68016795027013e+001°)
4.76596940834569e+003	(1.66338466080802e+000dB,1.53228628157211e+001°)
5.14617539154536e+003	(1.69932164899585e+000dB,1.39226968826574e+001°)
5.55671236877276e+003	(1.73028965571509e+000dB,1.25951963872025e+001°)
6.00000000000000e+003	(1.75692820668109e+000dB,1.13343785139668e+001°)
6.47865097396626e+003	(1.77979767277010e+000dB,1.01343032885705e+001°)
6.99548640707899e+003	(1.79938681451100e+000dB,8.98910217248861e+000°)
7.55355247076500e+003	(1.81611999451643e+000dB,7.89299654814634e+000°)
8.15613834527115e+003	(1.83036391898497e+000dB,6.84030764379193e+000°)
8.80679560573241e+003	(1.84243382298081e+000dB,5.82545930700600e+000°)
9.50935915476668e+003	(1.85259905431593e+000dB,4.84297486824559e+000°)
1.02679698249707e+004	(1.86108803967527e+000dB,3.88746916103489e+000°)
1.10870987845337e+004	(1.86809263625789e+000dB,2.95363659574565e+000°)
1.19715738898133e+004	(1.87377188458349e+000dB,2.03623602699389e+000°)
1.29266081401913e+004	(1.87825518488173e+000dB,1.13007301435727e+000°)
1.39578304029217e+004	(1.88164492199018e+000dB,2.29979954008850e-001°)
1.50713185890575e+004	(1.88401856300537e+000dB,-6.69205545043524e-001°)
1.62736354759922e+004	(1.88543024887055e+000dB,-1.57266375296761e+000°)
1.75718673877514e+004	(1.88591189624534e+000dB,-2.48561716254560e+000°)
1.89736659610103e+004	(1.88547381980384e+000dB,-3.41335592276810e+000°)
2.04872932430016e+004	(1.88410487782583e+000dB,-4.36126424303252e+000°)
2.21216703871174e+004	(1.88177213574182e+000dB,-5.33484767735776e+000°)
2.38864302332098e+004	(1.87842003323819e+000dB,-6.33976121441367e+000°)
2.57919740824936e+004	(1.87396903063184e+000dB,-7.38183810301621e+000°)
2.78495330016767e+004	(1.86831369944233e+000dB,-8.46711933318650e+000°)
3.00712340176363e+004	(1.86132021036148e+000dB,-9.60188366833534e+000°)
3.24701715927878e+004	(1.85282315908029e+000dB,-1.07926780821378e+001°)
3.50604848024110e+004	(1.84262165665366e+000dB,-1.20463483904502e+001°)
3.78574406688116e+004	(1.83047459631378e+000dB,-1.33700697790951e+001°)
4.08775241434776e+004	(1.81609499309034e+000dB,-1.47713768056127e+001°)
4.41385352675784e+004	(1.79914327672390e+000dB,-1.62581922883100e+001°)
4.76596940834569e+004	(1.77921940304525e+000dB,-1.78388542774648e+001°)
5.14617539154536e+004	(1.75585363577350e+000dB,-1.95221400179456e+001°)
5.55671236877276e+004	(1.72849584206490e+000dB,-2.13172854427447e+001°)
5.99999999999999e+004	(1.69650314508112e+000dB,-2.32339982653516e+001°)
6.47865097396625e+004	(1.65912579135261e+000dB,-2.52824621474838e+001°)
6.99548640707898e+004	(1.61549112863689e+000dB,-2.74733286941558e+001°)
7.55355247076500e+004	(1.56458566387509e+000dB,-2.98176931693717e+001°)
8.15613834527115e+004	(1.50523529783882e+000dB,-3.23270488570360e+001°)
8.80679560573241e+004	(1.43608403518620e+000dB,-3.50132139829641e+001°)
9.50935915476667e+004	(1.35557177220718e+000dB,-3.78882242120754e+001°)
1.00000000000000e+005	(1.29578727012303e+000dB,-3.98809583382639e+001°)
